,player_id,age,player_height,player_weight,college,country,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
332,333,35.0,205.74,115.66596,Baylor,USA,2,0.0,0.0,0.0,-95.6,0.0,0.0,0.0,0.0,0.0
333,334,27.0,210.82,108.86208,Duke,USA,56,3.0,3.3,0.6,-6.2,0.079,0.191,0.107,0.521,0.068
334,335,23.0,200.66,102.0582,Baylor,USA,63,2.7,3.4,0.4,-7.8,0.092,0.19,0.101,0.52,0.051
335,336,23.0,205.74,106.59412,Kansas,USA,80,9.1,4.3,0.7,2.0,0.08199999999999999,0.16699999999999998,0.21600000000000005,0.534,0.056
336,337,24.0,205.74,97.975872,None,USA,17,1.9,1.9,0.3,-23.8,0.14,0.299,0.238,0.397,0.119
337,338,32.0,203.2,113.398,Murray State,USA,79,7.0,7.3,1.6,1.5,0.13699999999999998,0.211,0.156,0.49,0.103
338,339,34.0,198.12,90.7184,Oklahoma,USA,27,2.8,1.0,0.4,-2.2,0.049,0.094,0.151,0.586,0.078
339,340,27.0,193.04,95.25431999999999,Kentucky,USA,60,11.1,1.7,1.3,-3.8,0.009000000000000001,0.071,0.202,0.5479999999999999,0.091
340,341,23.0,200.66,83.91452,Western Carolina,USA,72,10.8,3.6,1.3,0.8,0.036000000000000004,0.122,0.172,0.604,0.085
341,342,36.0,205.74,117.93392,Nevada-Las Vegas,USA,50,6.7,4.2,0.8,-4.7,0.104,0.203,0.234,0.486,0.106
342,343,22.0,200.66,99.79024,Georgia,USA,70,9.6,3.8,1.5,-7.2,0.037000000000000005,0.108,0.18600000000000005,0.456,0.092
343,344,31.0,203.2,99.79024,Auburn,USA,73,4.3,2.2,0.6,-7.3,0.049,0.155,0.17800000000000002,0.486,0.075
344,345,27.0,208.28,104.779752,None,USA,20,2.1,3.0,0.4,-16.4,0.085,0.237,0.126,0.521,0.056
345,346,24.0,195.58,99.79024,Georgia Tech,USA,74,6.7,4.2,1.7,5.2,0.048,0.14,0.142,0.48,0.097
346,347,21.0,210.82,108.86208,Gonzaga,Lithuania,81,5.9,3.6,1.0,0.2,0.032,0.16399999999999998,0.158,0.469,0.073
347,348,28.0,210.82,124.7378,Iowa State,USA,73,4.5,5.9,0.3,0.1,0.122,0.272,0.134,0.535,0.027000000000000003
348,349,27.0,187.96,81.64656,Arizona,USA,80,12.4,2.4,5.4,9.8,0.018000000000000002,0.067,0.181,0.606,0.279
349,350,27.0,198.12,88.45044,Oregon State,USA,37,11.1,3.9,3.1,-11.2,0.036000000000000004,0.111,0.18600000000000005,0.514,0.193
350,351,25.0,190.5,86.18248,None,Slovenia,70,7.5,2.0,2.9,-6.7,0.032,0.1,0.228,0.524,0.29100000000000004
351,352,31.0,165.1,60.327736,Eastern Michigan,USA,66,14.6,2.1,4.4,-5.9,0.026,0.05,0.213,0.5479999999999999,0.241
352,353,23.0,200.66,113.398,Drexel,USA,53,3.0,1.7,0.4,-6.8,0.104,0.131,0.212,0.485,0.086
353,354,33.0,195.58,99.79024,Portland State,USA,20,0.7,1.0,0.7,0.6,0.041,0.12,0.109,0.285,0.153
354,355,34.0,203.2,108.86208,Creighton,USA,46,3.5,2.9,0.7,-7.0,0.037000000000000005,0.135,0.11,0.493,0.061
355,356,24.0,200.66,97.52228,None,Switzerland,69,6.7,3.7,1.9,-2.3,0.04,0.168,0.175,0.4970000000000001,0.146
356,357,29.0,213.36,111.13004,None,Germany,78,24.6,8.9,3.4,11.1,0.054000000000000006,0.238,0.289,0.605,0.16899999999999998
357,358,22.0,200.66,111.13004,Arizona,USA,69,8.7,3.7,1.6,-0.6,0.017,0.115,0.161,0.48,0.086
358,359,30.0,208.28,113.398,Kentucky,USA,82,7.8,6.0,0.9,-6.5,0.13,0.205,0.194,0.5329999999999999,0.07400000000000001
359,360,21.0,215.9,122.46984,None,Croatia,50,3.7,3.2,0.5,-11.9,0.1,0.201,0.188,0.443,0.059
360,361,23.0,208.28,111.13004,UCLA,USA,70,4.5,3.6,0.8,-4.2,0.091,0.153,0.155,0.52,0.08199999999999999
